from,to,n
"(0, 0, 1)","(3, 0, 2)",1.1921624103499453e-09
"(3, 0, 2)","(0, 0, 1)",1.1921624103499453e-09
"(0, 1, 1)","(3, 0, 2)",1.2319161531971234e-09
"(3, 0, 2)","(0, 1, 1)",1.2319161531971234e-09
"(0, 2, 1)","(3, 0, 2)",1.3506877670342372e-09
"(3, 0, 2)","(0, 2, 1)",1.3506877670342372e-09
"(0, 0, 1)","(1, 1, 1)",2.465381778431498e-06
"(1, 1, 1)","(0, 0, 1)",2.465381778431498e-06
"(0, 1, 1)","(1, 1, 1)",2.610218021340799e-06
"(1, 1, 1)","(0, 1, 1)",2.610218021340799e-06
"(0, 2, 1)","(1, 1, 1)",3.004276460053694e-06
"(1, 1, 1)","(0, 2, 1)",3.004276460053694e-06
"(0, 0, 1)","(2, 1, 1)",2.4654506275915302e-06
"(2, 1, 1)","(0, 0, 1)",2.4654506275915302e-06
"(0, 1, 1)","(2, 1, 1)",2.610290915545028e-06
"(2, 1, 1)","(0, 1, 1)",2.610290915545028e-06
"(0, 2, 1)","(2, 1, 1)",3.0043603595757248e-06
"(2, 1, 1)","(0, 2, 1)",3.0043603595757248e-06
"(0, 0, 1)","(3, 1, 1)",2.4654506275915294e-06
"(3, 1, 1)","(0, 0, 1)",2.4654506275915294e-06
"(0, 1, 1)","(3, 1, 1)",2.610290915545027e-06
"(3, 1, 1)","(0, 1, 1)",2.610290915545027e-06
"(0, 2, 1)","(3, 1, 1)",3.004360359575723e-06
"(3, 1, 1)","(0, 2, 1)",3.004360359575723e-06
"(0, 0, 1)","(1, 1, 2)",1.4387964154479513e-09
"(1, 1, 2)","(0, 0, 1)",1.4387964154479513e-09
"(0, 1, 1)","(1, 1, 2)",1.5110012122253872e-09
"(1, 1, 2)","(0, 1, 1)",1.5110012122253872e-09
"(0, 2, 1)","(1, 1, 2)",1.7117681871755636e-09
"(1, 1, 2)","(0, 2, 1)",1.7117681871755636e-09
"(0, 0, 1)","(2, 1, 2)",2.2188576578606584e-06
"(2, 1, 2)","(0, 0, 1)",2.2188576578606584e-06
"(0, 1, 1)","(2, 1, 2)",2.3492061918673554e-06
"(2, 1, 2)","(0, 1, 1)",2.3492061918673554e-06
"(0, 2, 1)","(2, 1, 2)",2.703849394519933e-06
"(2, 1, 2)","(0, 2, 1)",2.703849394519933e-06
"(0, 0, 1)","(3, 1, 2)",2.218857657860658e-06
"(3, 1, 2)","(0, 0, 1)",2.218857657860658e-06
